Title,Title_link,Thumbnail,propertyCard-moreInfoNumber,aria-announcer,propertyCard-secondaryPriceValue,propertyCard-img1,propertyCard-img2,propertyCard-address,property-information,propertyCard-link,propertyCard-branchSummary,propertyCard-branchLogo-image,propertyCard-contactsPhoneNumber,property-information1
"£1,700 pcm",https://www.rightmove.co.uk/properties/133897391#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/3k/2915/133897391/2915_DEP230027_L_IMG_00_0000_max_476x317.jpeg,1/18,,£392 pw,,,"Bruford Court, Deptford, London, SE8",Flat,"Enviably located two bedroom apartment located within a secure purpose built block on the cusp of Greenwich with allocated free parking. The property comprises of two double bedrooms, separate reception, kitchen with installed appliances and contemporary bathroom suite. Other features include; a ...","Added yesterday by Keatons, Deptford",,020 3871 3153,1
,,,,,,,,,,,,,,
"£1,750 pcm",https://www.rightmove.co.uk/properties/133155134#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/119k/118048/133155134/118048_32227702_IMG_00_0001_max_476x317.jpeg,1/6,,£404 pw,,,"Burnt Ash Hill, London",Flat,"Dexters are delighted to be bringing to market this splendid first floor, two double bedroom apartment in a period conversion located in a prime location in South East London. Provided part-furnished, the property benefits from a fantastically sized private share of garden, as well as off street ...","Reduced yesterday by Dexters, Lee",,020 8815 2211,1
"£1,650 pcm",https://www.rightmove.co.uk/properties/132782975#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5353/132782975/5353_121277_IMG_00_0000_max_476x317.png,1/9,,£381 pw,,,"Eardley Road, Streatham, London, SW16",Ground Flat,"Sharpes Estates present to the market a spacious 2 double bedroom ground floor garden flat located only 10 minutes walk to Streatham common BR station. This fantastic property offers a seperate fully fitted kitchen, separate living room, 2 double bedrooms and 1 bathroom. Further benefits are off-...","Reduced yesterday by Sharpes Estates Ltd, Colliers Wood",,020 3893 8806,1
£815 pcm,https://www.rightmove.co.uk/properties/133891604#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/118k/117484/133891604/117484_LND210457_L_IMG_00_0000_max_476x317.jpeg,1/8,,£188 pw,,,"Northesk House, Tent Street, E1",Not Specified,Double Room in Flat Share- Whitechapel Rent is £815 per month INCLUDING ALL BILLS **ZERO DEPOSIT OPTION AVAILABLE** Brand New Flooring & Furniture Provided!!! Sharing with 2 Female Tenants The Flat comprises of four Large Double Roo...,"Added yesterday by Choices, Central London",,020 3834 8368,
"£1,600 pcm",https://www.rightmove.co.uk/properties/133891139#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251576/133891139/251576_32268121_IMG_00_0000_max_476x317.jpeg,1/13,,£369 pw,,,"The Ridgeway, London",Flat,"A modern two double bedroom apartment, close to local facilities with Chingford Station a short distance away. In excellent condition throughout.","Added yesterday by Butler & Stag, Buckhurst Hill",,020 8629 1598,1
"£1,750 pcm",https://www.rightmove.co.uk/properties/133887431#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15716/133887431/15716_L08975_IMG_00_0000_max_476x317.jpeg,1/7,,£404 pw,,,"Queen Mary Avenue, London, E18",Flat,"COMPLETELY REDECORATED SPACIOUS TWO BEDROOM TWO BATHROOM GROUND FLOOR FLAT IN THE POPULAR QUEEN MARY GATE DEVELOPMENT ONLY 15 MINUITES WALK TO SOUTH WOODFORD TUBE STATION. THE PROPERTY BENEFITS FROM SECURE PARKING, 24 HR CONCIERGE, NEW DECOR, NEW CARPETS, GAS CENTRAL HEATING AND MUCH MORE. VIEW NOW!","Added yesterday by Homes & Co, South Woodford",,020 3872 8384,2
"£1,450 pcm",https://www.rightmove.co.uk/properties/133888046#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191414/133888046/191414_P213640_IMG_00_0000_max_476x317.jpeg,1/6,,£335 pw,,,Lanier Road Hither Green SE13,Apartment,"Two double bedroom conversion flat to rent close to Hither Green station. Offered unfurnished, available from Mid May.","Added yesterday by Kinleigh Folkard & Hayward - Lettings, Lee",,020 3909 6504,1
"£1,600 pcm",https://www.rightmove.co.uk/properties/132119102#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/193k/192560/132119102/192560_Grange_IMG_08_0000_max_476x317.jpeg,1/9,,£369 pw,,,"Gordon Road, London, E18",Flat,"We are delighted to present this furnished, mock Tudor converted 2 bedroom apartment, which is placed back from the road therefore the building is sandwiched between extremely attractive front & rear communal grounds which gives the impression of a rural setting.","Added yesterday by Aitch Estates Ltd, Leytonstone",,020 3834 8739,
"£1,700 pcm",https://www.rightmove.co.uk/properties/77802717#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19716/77802717/19716_BRN1020454_IMG_00_0000_max_476x317.jpeg,1/4,,£392 pw,,,"Wimbledon Park Road, Southfields, Southfields",Apartment,"Brinkley's Estate Agents are pleased to present this two double bedroom apartment on Wimbledon Park Road in Southfields. Property benefits from a large open plan reception room (lounge, dining area and fully integrated kitchen), two large double bedrooms and a large modern family bathroom. W (cont.)","Added yesterday by Brinkley's Estate Agents, Wimbledon Park and Southfields",,020 3889 8403,1
"£1,700 pcm",https://www.rightmove.co.uk/properties/133883975#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133883975/96668_133553903032022_IMG_00_0000_max_476x317.jpeg,1/6,,£392 pw,,,"Holley Road, London, W3",Flat,"MODERN, WELCOMING TWO-BED FLAT, FULLY FURNISHED, BORDERS OF CHISWICK AND ACTON This fully-furnished home from home, which comes with its own reserved off-street parking space right in front of th... ** Property Reference: 1335539 **","Added yesterday by OpenRent, London",,020 3322 3265,1
"£1,500 pcm",https://www.rightmove.co.uk/properties/6704473#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/15k/14278/6704473/14278_1262_IMG_01_0000_max_476x317.jpeg,1/13,,£346 pw,,,"Crosslet Vale,Greenwich,London,SE10",Flat,Two bedroom ground floor flat walking distance to the DLR and Greenwich Town Centre and BR. Offered unfurnished and available beg May.,"Added yesterday by Comber & Company, Blackheath Village",,020 3006 4159,1
,,,,,,,,,,,,,,
"£1,650 pcm",https://www.rightmove.co.uk/properties/133531532#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63765/133531532/63765_5206185_IMG_00_0000_max_476x317.jpeg,1/11,Property image 1 of 11,£381 pw,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63765/133531532/63765_5206185_IMG_10_0000_max_476x317.jpeg,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63765/133531532/63765_5206185_IMG_01_0000_max_476x317.jpeg,"Thyme Close, London SE3",Flat,"Extremely Spacious Two Bedroom Two Bathroom Apartment Very Close to Kidbrooke Station. Thyme Close SE3. This modern apartment has wooden flooring throughout and is presented immaculately! Large reception room, two double bedrooms, large family bathroom, en suite shower room and a fitted kitchen....","Reduced yesterday by ludlowthompson, Canada Water",https://media.rightmove.co.uk:443/dir/company/clogo_rmchoice_1674_0003_max_100x50.jpeg,020 3906 2172,2
"£1,400 pcm",https://www.rightmove.co.uk/properties/133873100#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/142k/141884/133873100/141884_Finchley_rd-2bed_IMG_00_0000_max_476x317.jpeg,1/6,Property image 1 of 6,£323 pw,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/142k/141884/133873100/141884_Finchley_rd-2bed_IMG_02_0000_max_476x317.jpeg,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/142k/141884/133873100/141884_Finchley_rd-2bed_IMG_01_0000_max_476x317.jpeg,"Finchley Road, London, NW11",Flat,"Very nice 2 bedroom flat on the 2nd floor above commercial premises, directly opposite Golders Green Tube Station, Northern line, fully fitted kitchen, 2 bedrooms, gas central heating, double glazing, available immediately","Reduced yesterday by Live London Estates, Golders Green",https://media.rightmove.co.uk:443/dir/company/clogo_rmchoice_44855_0000_max_100x50.png,020 3906 8972,1
"£1,750 pcm",https://www.rightmove.co.uk/properties/133845650#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43310/133845650/43310_CWL230144_L_IMG_00_0000_max_476x317.jpeg,1/10,Property image 1 of 10 showing Reception,£404 pw,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43310/133845650/43310_CWL230144_L_IMG_08_0000_max_476x317.jpeg,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43310/133845650/43310_CWL230144_L_IMG_01_0000_max_476x317.jpeg,"Cumberland Place, 
Canary Wharf, SE6",Flat,Well presented furnished two bedroom apartment set within a sought after and quiet residential development on the Catford and Hither Green borders.,"Reduced yesterday by Chestertons Estate Agents, Canary Wharf & Docklands Lettings",https://media.rightmove.co.uk:443/dir/company/clogo_rmchoice_17141_0002_max_100x50.jpeg,020 3835 2118,1
,,,,,,,,,,,,,,
"£1,700 pcm",https://www.rightmove.co.uk/properties/133868015#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66898/133868015/66898_10001560_OBRN_IMG_00_0000_max_476x317.jpeg,1/12,,£392 pw,,,"Herne Hill Road, London SE24",Flat,"2 bedroom flat with outside space, minutes from Ruskin Park.","Added yesterday by Oliver Burn, Herne Hill",,020 3879 5581,1
"£1,650 pcm",https://www.rightmove.co.uk/properties/133531532#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63765/133531532/63765_5206185_IMG_00_0000_max_476x317.jpeg,1/11,,£381 pw,,,"Thyme Close, London SE3",Flat,"Extremely Spacious Two Bedroom Two Bathroom Apartment Very Close to Kidbrooke Station. Thyme Close SE3. This modern apartment has wooden flooring throughout and is presented immaculately! Large reception room, two double bedrooms, large family bathroom, en suite shower room and a fitted kitchen....","Reduced yesterday by ludlowthompson, Canada Water",,020 3906 2172,2
"£1,750 pcm",https://www.rightmove.co.uk/properties/133463909#/?channel=RES_LET,,,,£404 pw,,,"Deacon Road, Willesden NW2",Flat,"Rainbow Reid are delighted to bring this 2 bedroom ground floor flat to the market. Situated in a period terraced property on the lovely Deacon Road, this flat has it`s own entrance, and back door exit to the garden. There is a nice size reception, with new wooden flooring, 1 large double bedroom...","Reduced yesterday by Rainbow Reid, London",,020 8154 5525,1
"£1,647 pcm",https://www.rightmove.co.uk/properties/133151120#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/47k/46220/133151120/46220_GOL230133_L_IMG_00_0000_max_476x317.jpeg,1/13,,£380 pw,,,"Holmdale Gardens, London, NW4",Apartment,"View tody this excellent value for money two double bedroom flat, newly decorated throughout, kitchen, very spacious accommodation with communal garden and balcony. An internal viewing strongly advised. Rent Includes Heating and Hot water.","Reduced yesterday by Winkworth, Golders Green",,020 3869 5647,1
"£1,700 pcm",https://www.rightmove.co.uk/properties/133863605#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43502/133863605/43502_32266986_IMG_00_0000_max_476x317.jpeg,1/9,,£392 pw,,,"Madison Ct, Great North Way, Hendon, LONDON, NW4",Apartment,"A large Two Bedroom, Two Bathroom ( One Ensuite ) Second Floor Flat ( lift in building) in a modern Purpose Built Block with private Parking located behind electric gates and with use of the blocks Communal Gardens. Furnished. Available To move into by the 14th September 2023.","Added yesterday by Jayson Russell, Hendon",,020 3910 6512,2
"£1,600 pcm",https://www.rightmove.co.uk/properties/133862072#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45890/133862072/45890_HEN140152_L_IMG_00_0000_max_476x317.jpeg,1/9,,£369 pw,,,"Wilshaw Close, Watford Way, London, NW4",Apartment,"AVAILABLE NOW! - Perfect for professional couples or sharers, this well presented property is ideally located for major road links whilst being within walking distance to local schools. The 113 bus runs pass the door, Middlesex University, Sunny Hill Park and Hendon Central are nearby too! Must b...","Added yesterday by Winkworth, Hendon",,020 3835 4243,2
,,,,,,,,,,,,,,
"£1,675 pcm",https://www.rightmove.co.uk/properties/86099994#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/33k/32535/86099994/32535_103318000224_IMG_00_0000_max_476x317.jpeg,1/11,,£387 pw,,,"Holden Road, Woodside Park, N12 - WITH GARAGE",Flat,"A superb 2 bedroom ground floor apartment located within easy reach of Woodside Park Tube Station & local shopping amenities. This property benefits from a modern fitted kitchen with appliances, neutral décor, Kardean flooring throughout, modern tiled bathroom with shower over bath, spac...","Reduced yesterday by Simon Clarke, Finchley",,020 3974 1902,1
"£1,700 pcm",https://www.rightmove.co.uk/properties/130862480#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35969/130862480/35969_06910263_IMG_00_0000_max_476x317.jpeg,1/10,,£392 pw,,,"Orchard Avenue, Finchley, N3",Maisonette,"A bright and spacious two double bedroom maisonette situated on the first floor. The property compromises a large reception with a balcony, a separate kitchen, two double bedrooms and a large family bathroom. The property is situated on a tree lined street, located 0.7 miles of Finchley Central","Added yesterday by Chancellors, Finchley Lettings",,020 3907 3668,1
"£1,750 pcm",https://www.rightmove.co.uk/properties/133857218#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17108/133857218/17108_DWR00216C_IMG_00_0000_max_476x317.jpeg,1/7,,£404 pw,,,"Thicket Road, Anerley, London, SE20",Apartment,"A spacious and well presented two double bedroom, two bath split level conversion in Anerley to rent.","Added yesterday by Pedder, Crystal Palace",,020 3835 2967,2
"£1,600 pcm",https://www.rightmove.co.uk/properties/133493963#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239978/133493963/239978_P213310_IMG_10_0000_max_476x317.jpeg,1/10,,£369 pw,,,Kirkdale London SE26,Apartment,Lovely two bedroom period conversion flat to rent in the heart of Sydenham. Private outside area with a large communal garden.,"Reduced yesterday by Kinleigh Folkard & Hayward - Lettings, Sydenham",,020 3889 5899,1
"£1,625 pcm",https://www.rightmove.co.uk/properties/133853390#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133853390/96668_168439319042023_IMG_00_0000_max_476x317.jpeg,1/16,,£375 pw,,,"Mount Pleasant Road, Lewisham, SE13",Flat,"Feature PointsLovely, bright, spacious flatSeparate modern kitchen, modern bathroom Large communal garden Excellent location, close to transport Summary DescriptionA well-presented, spacious, two... ** Property Reference: 1684393 **","Added yesterday by OpenRent, London",,020 3322 3265,1
"£1,600 pcm",https://www.rightmove.co.uk/properties/133852007#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133852007/96668_168426619042023_IMG_00_0000_max_476x317.jpeg,1/15,,£369 pw,,,"Ruislip Road East, London, W13",Flat,"Modern ground floor newly decorated two bedroom apartment with separate kitchen area, bathroom and large lounge. with 2 double bedrooms one with fitted wardrobes, entry phone, off street parkin... ** Property Reference: 1684266 **","Added on 19/04/2023 by OpenRent, London",,020 3322 3265,1
,,,,,,,,,,,,,,
"£1,550 pcm",https://www.rightmove.co.uk/properties/53750307#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51420/53750307/51420_MHL180064_L_IMG_00_0000_max_476x317.jpeg,1/15,,£358 pw,,,"Bittacy Court, Frith Lane, London, NW7",Apartment,NO DEPOSIT OPTION AVAILABLE Moments from Mill Hill East station is this two bedroom first floor flat that offers generous living accommodation with the added benefit of being close to other amenities of Mill Hill East.,"Added on 19/04/2023 by Martyn Gerrard, Mill Hill",,020 3908 5030,1
"£1,650 pcm",https://www.rightmove.co.uk/properties/133850132#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100426/133850132/100426_1235138_IMG_02_0000_max_476x317.jpeg,1/14,,£381 pw,,,"COLLETTE COURT, SELHURST ROAD, LONDON, SE25, Selhurst, London, SE25",Flat,"ZERO DEPOSIT AVAILABLE. LONG LET. Excellantly located close to both Norwood Junction and Selhurst stations this fantastic 2 bedroom apartment benefits from a large bright reception room, separate fitted kitchen, 2 double bedrooms and a stylish bathroom.","Added on 19/04/2023 by Foxtons, Crystal Palace",,020 3840 3918,1
"£1,700 pcm",https://www.rightmove.co.uk/properties/133849043#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/35k/34400/133849043/34400_P263987_IMG_00_0000_max_476x317.jpeg,1/9,,£392 pw,,,Belmont Grove Blackheath SE13,Flat,"A rarely available, sought-after, two-bedroom flat situated within Belmont Hall Court, a stone's throw from Blackheath Village, and close to Lewisham Shopping Centre. Located on the ground floor and offered with off road bay parking and with hot water and heating included in the rent.","Added on 19/04/2023 by John Payne, Blackheath Village Office",,020 3906 2950,1
"£1,750 pcm",https://www.rightmove.co.uk/properties/133848809#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58000/133848809/58000_P213587_IMG_00_0000_max_476x317.jpeg,1/6,,£404 pw,,,Bewley Street Wimbledon SW19,Flat,"A large two double bedroom, two bathroom apartment with private balcony to rent in Wimbledon. This property is gorgeous inside and is offering over 900square feet of living space.","Added on 19/04/2023 by Kinleigh Folkard & Hayward - Lettings, Wimbledon",,020 3835 4187,2
"£1,746 pcm",https://www.rightmove.co.uk/properties/133844336#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/184k/183968/133844336/183968_KBN000C2F_IMG_00_0000_max_476x317.jpeg,1/5,,£403 pw,,,"Clifford Gardens, London, NW10",Flat,"A bright and spacious 2 bed flat on the first floor in a great location within Kensal Rise. This beautifully presented property benefits from a fully fitted kitchen, modern bathroom and ample living space with neutral colours and wooden floors throughout. This property has great transport link...","Added on 19/04/2023 by Homeview Estates, London",,020 3907 3706,1
"£1,750 pcm",https://www.rightmove.co.uk/properties/133844126#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/133844126/54616_DAN181039_L_IMG_00_0000_max_476x317.jpeg,1/5,,£404 pw,,,"High Road, East Finchley, London, N2",Apartment,"Two bedroom FLAT just a short walk from FINCHLEY STATION. Benefitting from SPACIOUS OPEN PLAN LIVING SPACE, FITTED KITCHEN, two double bedrooms and family bathroom. UNFURNISHED.","Added on 19/04/2023 by Drivers & Norris, Islington- Lettings",,020 3909 9690,2
