"Position","Address","Description","Price","Thumbnail","Thumbnail2","Thumbnail3","Thumbnail4","ListingUrl"
15,"Finchley Road, NW3","ZERO DEPOSIT OPTION AVAILABLE: An exceptionally spacious top floor flat with large bedrooms, separate kitchen and two bathrooms","£2,000 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247487/133997687/247487_P284717_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247487/133997687/247487_P284717_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247487/133997687/247487_P284717_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133997687#/?channel=RES_LET"
16,"Highfield Avenue, London, NW11","We are proud to offer this gorgeous peaceful 2 bedroom flat, with spacious living room, in a prime location. Available to move from May 15th, this newly refurbished property benefits from an abun... ** Property Reference: 1687065 **","£1,690 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133997435/96668_168706523042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133997435/96668_168706523042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133997435/96668_168706523042023_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133997435#/?channel=RES_LET"
17,"Lambert Road, Brixton Hill, SW2","BRIXTON HILL LOCATION! A newly decorated two bedroom ground floor conversion flat situated in a large period property","£2,000 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/32k/31313/133996568/31313_CRNO_004256_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/32k/31313/133996568/31313_CRNO_004256_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/32k/31313/133996568/31313_CRNO_004256_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133996568#/?channel=RES_LET"
18,"Top Floor Flat, Thicket Road, Anerley, SE20","EXCELLENT TRANSPORT LINKS & CLOSE TO PARK! Cray & Norton are delighted to present this two bedroom top floor flat.","£1,700 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/32k/31313/133996571/31313_CRNO_004257_IMG_00_0000_max_476x317.png","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/32k/31313/133996571/31313_CRNO_004257_IMG_00_0000_max_476x317.png","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/32k/31313/133996571/31313_CRNO_004257_IMG_00_0000_max_476x317.png","https://www.rightmove.co.uk/properties/133996571#/?channel=RES_LET"
19,"Devonshire House, London, E14","Available immediately, this spacious, bright and well kept 2BD flat located in a former pub building (6 modern flats, 3 of which are owner occupied; communal areas cleaned weekly) boasting modern... ** Property Reference: 1686953 **","£1,750 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133993469/96668_168695322042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133993469/96668_168695322042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133993469/96668_168695322042023_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133993469#/?channel=RES_LET"
20,"Simms Gardens, London, N2","literally lovely and clean flat 2nd (top) floor, built in year 2000 ample residential parking secure bike storage walking distance (16 min) to tube (East Finchley station Zone 3) or 2 min walk... ** Property Reference: 1655673 **","£1,650 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/132710057/96668_165567317032023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/132710057/96668_165567317032023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/132710057/96668_165567317032023_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/132710057#/?channel=RES_LET"
21,"Ashvale Road, London, SW17","2 bed flat with private roof terrace, 2 mins from tubeOnly 2 minutes walk from Tooting Broadway tube station (on Northern line which will take you to Balham, Clapham, Colliers Wood, Wimbledon etc)... ** Property Reference: 1686837 **","£2,000 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133991603/96668_168683722042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133991603/96668_168683722042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133991603/96668_168683722042023_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133991603#/?channel=RES_LET"
22,"Queen Mary Avenue, London, E18","· Luxury Gated Development· Stunning Location· Central Line Zone 4· Concierge Services· Set In Over 9 AcresBright spacious two bedroom two bathroom apartment in... ** Property Reference: 1673365 **","£1,950 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133991402/96668_167336506042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133991402/96668_167336506042023_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133991402/96668_167336506042023_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133991402#/?channel=RES_LET"
23,"Hillboro Court, South Woodford, E18","**NO DEPOSIT OPTION AVAILABLE** A Rare Find... - Call haart Lettings South Woodford today to book an accompanied viewing.","£1,700 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11465/133991387/11465_0421_HRT042101515_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11465/133991387/11465_0421_HRT042101515_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11465/133991387/11465_0421_HRT042101515_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133991387#/?channel=RES_LET"
24,"Page Court, Page Street, Mill Hill, NW7","Cosway Estates are pleased to offer for rent this brand new spacious two bedroom ground floor maisonette in Mill Hill which has been refurbished to a very high standard. This property comprises of a separate brand new modern fitted kitchen; spacious living room; brand new bathroom and two bedroom...","£1,600 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9970/133989299/9970_32273470_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9970/133989299/9970_32273470_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9970/133989299/9970_32273470_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133989299#/?channel=RES_LET"
25,"Windsor Road, Willesden, London","Empire Estates are pleased to present this recently refurbished and well presented two bedroom first floor flat in Willesden Green. The property comprises of a large separate living room, two double bedrooms, family bathroom and separate fitted kitchen. Further benefits include double glazing and...","£1,950 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237251/133988543/237251_102658001797_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237251/133988543/237251_102658001797_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237251/133988543/237251_102658001797_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133988543#/?channel=RES_LET"
26,"Windsor Road, Willesden, London","Empire Estates are pleased to present this recently refurbished and well presented two bedroom first floor flat in Willesden Green. The property comprises of a large separate living room, two double bedrooms, family bathroom and separate fitted kitchen. Further benefits include double glazing and...","£1,950 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237251/133988543/237251_102658001797_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237251/133988543/237251_102658001797_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237251/133988543/237251_102658001797_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133988543#/?channel=RES_LET"
27,"Argyle Road, Ealing, London, W13","A very spacious and well presented first floor conversion flat situated in this popular residential area close to West Ealing Mainline station.   The property benefits from two double bedrooms, separate modern fitted kitchen, wood flooring and communal gardens.  Available furnished fr...","£1,750 pcm","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5252/133712333/5252_EL17294_IMG_00_0000_max_476x317.jpeg",,,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5252/133712333/5252_EL17294_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133712333#/?channel=RES_LET"
28,"Baker Street, Enfield","P M Estates are pleased to offer this highly sought after 2 DOUBLE bed P/B flat situated in prime location just 10 mins walk from Enfield Town B.R & vast array of shops, restaurants & amenities & within the catchment for many desirable local schools","£1,550 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/26k/25176/133987571/25176_1430_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/26k/25176/133987571/25176_1430_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/26k/25176/133987571/25176_1430_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133987571#/?channel=RES_LET"
29,"Garratt Lane, London","Looking for a spacious and inviting home in the heart of Earlsfield? This first floor flat is the perfect fit for you! Situated just moments away from Earlsfield Station and all the local amenities on Garratt Lane, this property offers unbeatable convenience and comfort. Step inside and ...","£1,900 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42021/133986470/42021_31829939_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42021/133986470/42021_31829939_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42021/133986470/42021_31829939_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133986470#/?channel=RES_LET"
30,"Penwith Road Earlsfield London","Looking for a charming and conveniently located rental with plenty of space? Look no further than this lovely first floor period maisonette! Situated on a highly desirable road, just moments away from Earlsfield Mainline Station and the vibrant bars and restaurants on Garratt Lane, this property ...","£1,750 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42021/133986347/42021_30523102_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42021/133986347/42021_30523102_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42021/133986347/42021_30523102_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133986347#/?channel=RES_LET"
31,"Beatrice Lodge, Alexandra Grove, Finchley,  N12","Redac Strattons are pleased to introduce this very spacious, two bedroom well-kept furnished apartment which is well situated within walking distance of shops and transport. This 2nd floor flat offers ample living space with a spacious lounge and separate kitchen with breakfast area. The prope...","£1,900 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191426/133985636/191426_2586488_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191426/133985636/191426_2586488_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191426/133985636/191426_2586488_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133985636#/?channel=RES_LET"
32,"Palace Road,","Newly refurbished spacious 3 double bed F/F P/B apartment situated just a short 2 mins walk from Bounds Green Tube/Bowes Park B.R, 24hr bus routes, A406 Road links, sought after local schools & a selection of local shops & amenities.","£1,900 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/26k/25176/133985363/25176_912_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/26k/25176/133985363/25176_912_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/26k/25176/133985363/25176_912_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133985363#/?channel=RES_LET"
33,"Gleneagle Road, London, SW16","Two bedroom maisonette is located on the first floor of a Victorian period conversion.","£1,700 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/35k/34358/133985291/34358_STR100364_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/35k/34358/133985291/34358_STR100364_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/35k/34358/133985291/34358_STR100364_L_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133985291#/?channel=RES_LET"
34,"Culmington Road, West Ealing","A recently decorated bright and spacious two bedroom flat situated only a short walk away from Walpole Park. Ideal for a professional couple, with communal gardens and residents parking.","£1,998 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84791/133983752/84791_32273380_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84791/133983752/84791_32273380_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84791/133983752/84791_32273380_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133983752#/?channel=RES_LET"
35,"Farrant Avenue, London, N22 6PG","Cosy 3 bedroom terraced house to rent, featuring a private rear garden and with excellent access to both Wood Green tube & shopping centre. Available NOW, exclusively with Network Agencies","£1,900 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/54k/53310/133511594/53310_farrantavenue313_IMG_08_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/54k/53310/133511594/53310_farrantavenue313_IMG_08_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/54k/53310/133511594/53310_farrantavenue313_IMG_08_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133511594#/?channel=RES_LET"
36,"Buckleigh Road, LONDON, SW16","Two bedroom first floor Victorian conversion flat Situated just 0.4 miles from Streatham Common station makes it ideal for those looking to commute to central London. Balham is a 4 minute (1 stop) train journey away which connects the property to the London Underground network. A frequent service...","£1,950 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/35k/34358/133982360/34358_STR180046_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/35k/34358/133982360/34358_STR180046_L_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/35k/34358/133982360/34358_STR180046_L_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133982360#/?channel=RES_LET"
37,"Brownlow Road","A chance to rent this 2 bedroom flat on the ground floor of this period conversion, the property offers a wealth of space and is well laid out comprising of an large lounge, a fitted kitchen, 2 bedrooms, a bathroom and its own garden. The property benefits from having Gas central heating, double ...","£1,650 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/39k/38480/133981883/38480_102728000661_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/39k/38480/133981883/38480_102728000661_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/39k/38480/133981883/38480_102728000661_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133981883#/?channel=RES_LET"
38,"LONG LANE, FINCHLEY N3","THREE DOUBLE BEDROOMand TWO BATHROOM 1st/2nd floor converted flat forming part of substantial Victorian house, set back from road, located just off Ballards Lane, close to shops, buses, Finchley Central underground station & Victoria Park. THREE DOUBLE BEDROOM and TWO BATHROOM 1st/2nd floor conv...","£2,000 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82444/133981862/82444_2302729_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82444/133981862/82444_2302729_IMG_00_0000_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82444/133981862/82444_2302729_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133981862#/?channel=RES_LET"
39,"Wayford Street, Clapham, London","A completely refurbished two double bedroom apartment located only a few moments to Clapham Junction and the High Street. The property has been interior designed to a very high standard and offers incredible space in every room, two separate storage cupboards, a large eat in fitted kitchen with d...","£1,800 pcm",,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75328/80325470/75328_27587158_IMG_00_0001_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75328/80325470/75328_27587158_IMG_00_0001_max_476x317.jpeg","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75328/80325470/75328_27587158_IMG_00_0001_max_476x317.jpeg","https://www.rightmove.co.uk/properties/80325470#/?channel=RES_LET"
40,"Belsize Road, South Hampstead NW6","A spacious two bedroom apartment in a period conversion in the nbsp;South Hampstead area. The apartment is spread over two floors with a large open plan kitchen lounge, two double bedrooms and a fully tiled bathroom with bath and shower. The decor is neutral throughout with wood floors and tiling...","£1,950 pcm",,,,"https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/33k/32793/133977884/32793_38054_IMG_00_0000_max_476x317.jpeg","https://www.rightmove.co.uk/properties/133977884#/?channel=RES_LET"
